experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,symbol,name,target,module,status,elapsed_ms
parser_011,f64,2875,1,2875000000,2875000000,2875000000,0,0.3478261,success=true code=Some(0) stdout_bytes=155 stderr_bytes=260,pr02,CWE,pr011,parser,csv,ok,2875
parser_012,f64,4827,1,4827000000,4827000000,4827000000,0,0.20716801,success=true code=Some(0) stdout_bytes=150 stderr_bytes=364,pr02,CWR,pr012,parser,csv,ok,4827
parser_013,f64,4874,1,4874000000,4874000000,4874000000,0,0.20517029,success=true code=Some(0) stdout_bytes=147 stderr_bytes=208,pr02,HA,pr013,parser,html,ok,4874
parser_014,f64,4982,1,4982000000,4982000000,4982000000,0,0.2007226,success=true code=Some(0) stdout_bytes=144 stderr_bytes=260,pr02,HC,pr014,parser,html,ok,4982
parser_015,f64,4563,1,4563000000,4563000000,4563000000,0,0.21915406,success=true code=Some(0) stdout_bytes=144 stderr_bytes=260,pr02,HD,pr015,parser,html,ok,4563
parser_016,f64,4528,1,4528000000,4528000000,4528000000,0,0.22084805,success=true code=Some(0) stdout_bytes=142 stderr_bytes=260,pr02,HE,pr016,parser,html,ok,4528
parser_017,f64,5041,1,5041000000,5041000000,5041000000,0,0.19837333,success=true code=Some(0) stdout_bytes=146 stderr_bytes=260,pr02,HMD,pr017,parser,html,ok,5041
parser_018,f64,4040,1,4040000000,4040000000,4040000000,0,0.24752475,success=true code=Some(0) stdout_bytes=143 stderr_bytes=260,pr02,HN,pr018,parser,html,ok,4040
parser_019,f64,2861,1,2861000000,2861000000,2861000000,0,0.34952813,success=true code=Some(0) stdout_bytes=147 stderr_bytes=312,pr02,HPT,pr019,parser,html,ok,2861
parser_020,f64,4699,1,4699000000,4699000000,4699000000,0,0.21281123,success=true code=Some(0) stdout_bytes=147 stderr_bytes=260,pr02,HSR,pr020,parser,html,ok,4699
parser_021,f64,4693,1,4693000000,4693000000,4693000000,0,0.21308331,success=true code=Some(0) stdout_bytes=149 stderr_bytes=260,pr03,HSC,pr021,parser,html,ok,4693
parser_022,f64,4926,1,4926000000,4926000000,4926000000,0,0.20300446,success=true code=Some(0) stdout_bytes=143 stderr_bytes=364,pr03,HS,pr022,parser,html,ok,4926
parser_023,f64,2856,1,2856000000,2856000000,2856000000,0,0.35014006,success=true code=Some(0) stdout_bytes=145 stderr_bytes=260,pr03,HV,pr023,parser,html,ok,2856
parser_024,f64,5020,1,5020000000,5020000000,5020000000,0,0.1992032,success=true code=Some(0) stdout_bytes=148 stderr_bytes=260,pr03,HVT,pr024,parser,html,ok,5020
parser_025,f64,4235,1,4235000000,4235000000,4235000000,0,0.23612751,success=true code=Some(0) stdout_bytes=141 stderr_bytes=208,pr03,HV,pr025,parser,html,ok,4235
parser_026,f64,579,1,579000000,579000000,579000000,0,1.7271158,success=true code=Some(0) stdout_bytes=142 stderr_bytes=208,pr03,JA,pr026,parser,json,ok,579
parser_027,f64,544,1,544000000,544000000,544000000,0,1.8382353,success=true code=Some(0) stdout_bytes=141 stderr_bytes=208,pr03,JB,pr027,parser,json,ok,544
parser_028,f64,4574,1,4574000000,4574000000,4574000000,0,0.21862702,success=true code=Some(0) stdout_bytes=140 stderr_bytes=312,pr03,JE,pr028,parser,json,ok,4574
parser_029,f64,4185,1,4185000000,4185000000,4185000000,0,0.23894863,success=true code=Some(0) stdout_bytes=143 stderr_bytes=260,pr03,JE,pr029,parser,json,ok,4185
parser_030,f64,4761,1,4761000000,4761000000,4761000000,0,0.21003991,success=true code=Some(0) stdout_bytes=144 stderr_bytes=260,pr03,JI,pr030,parser,json,ok,4761
parser_031,f64,4737,1,4737000000,4737000000,4737000000,0,0.21110408,success=true code=Some(0) stdout_bytes=146 stderr_bytes=208,pr04,JMD,pr031,parser,json,ok,4737
parser_032,f64,4758,1,4758000000,4758000000,4758000000,0,0.21017234,success=true code=Some(0) stdout_bytes=151 stderr_bytes=208,pr04,JNF,pr032,parser,json,ok,4758
parser_033,f64,353,1,353000000,353000000,353000000,0,2.8328612,success=true code=Some(0) stdout_bytes=141 stderr_bytes=208,pr04,JN,pr033,parser,json,ok,353
parser_034,f64,4638,1,4638000000,4638000000,4638000000,0,0.21561018,success=true code=Some(0) stdout_bytes=143 stderr_bytes=260,pr04,JN,pr034,parser,json,ok,4638
parser_035,f64,4065,1,4065000000,4065000000,4065000000,0,0.24600247,success=true code=Some(0) stdout_bytes=143 stderr_bytes=260,pr04,JO,pr035,parser,json,ok,4065
parser_036,f64,4979,1,4979000000,4979000000,4979000000,0,0.20084354,success=true code=Some(0) stdout_bytes=143 stderr_bytes=260,pr04,JS,pr036,parser,json,ok,4979
parser_037,f64,4472,1,4472000000,4472000000,4472000000,0,0.22361359,success=true code=Some(0) stdout_bytes=145 stderr_bytes=260,pr04,JT,pr037,parser,json,ok,4472
parser_038,f64,4831,1,4831000000,4831000000,4831000000,0,0.20699649,success=true code=Some(0) stdout_bytes=152 stderr_bytes=208,pr04,JVN,pr038,parser,json,ok,4831
parser_039,f64,2722,1,2722000000,2722000000,2722000000,0,0.36737692,success=true code=Some(0) stdout_bytes=150 stderr_bytes=260,pr04,JVM,pr039,parser,json,ok,2722
parser_040,f64,2489,1,2489000000,2489000000,2489000000,0,0.4017678,success=true code=Some(0) stdout_bytes=149 stderr_bytes=312,pr04,MB,pr040,parser,markdown,ok,2489
parser_041,f64,4360,1,4360000000,4360000000,4360000000,0,0.2293578,success=true code=Some(0) stdout_bytes=149 stderr_bytes=260,pr05,MCB,pr041,parser,markdown,ok,4360
parser_042,f64,2688,1,2688000000,2688000000,2688000000,0,0.37202382,success=true code=Some(0) stdout_bytes=146 stderr_bytes=260,pr05,MH,pr042,parser,markdown,ok,2688
parser_043,f64,4866,1,4866000000,4866000000,4866000000,0,0.2055076,success=true code=Some(0) stdout_bytes=143 stderr_bytes=364,pr05,ML,pr043,parser,markdown,ok,4866
parser_044,f64,2836,1,2836000000,2836000000,2836000000,0,0.3526093,success=true code=Some(0) stdout_bytes=144 stderr_bytes=260,pr05,MT,pr044,parser,markdown,ok,2836
parser_045,f64,4340,1,4340000000,4340000000,4340000000,0,0.23041475,success=true code=Some(0) stdout_bytes=153 stderr_bytes=208,pr05,MTB,pr045,parser,markdown,ok,4340
parser_046,f64,4867,1,4867000000,4867000000,4867000000,0,0.20546538,success=true code=Some(0) stdout_bytes=153 stderr_bytes=260,pr05,MVE,pr046,parser,markdown,ok,4867
parser_047,f64,665,1,665000000,665000000,665000000,0,1.5037594,success=true code=Some(0) stdout_bytes=158 stderr_bytes=208,pr05,MVH,pr047,parser,markdown,ok,665
parser_048,f64,4744,1,4744000000,4744000000,4744000000,0,0.21079259,success=true code=Some(0) stdout_bytes=149 stderr_bytes=208,pr05,MVT,pr048,parser,markdown,ok,4744
parser_049,f64,2704,1,2704000000,2704000000,2704000000,0,0.36982247,success=true code=Some(0) stdout_bytes=150 stderr_bytes=260,pr05,MVT,pr049,parser,markdown,ok,2704
parser_050,f64,4673,1,4673000000,4673000000,4673000000,0,0.2139953,success=true code=Some(0) stdout_bytes=142 stderr_bytes=260,pr05,TA,pr050,parser,toml,ok,4673
parser_051,f64,4773,1,4773000000,4773000000,4773000000,0,0.20951183,success=true code=Some(0) stdout_bytes=141 stderr_bytes=312,pr06,TB,pr051,parser,toml,ok,4773
parser_052,f64,4948,1,4948000000,4948000000,4948000000,0,0.20210186,success=true code=Some(0) stdout_bytes=151 stderr_bytes=208,pr06,TEI,pr052,parser,toml,ok,4948
parser_053,f64,1116,1,1116000000,1116000000,1116000000,0,0.89605737,success=true code=Some(0) stdout_bytes=142 stderr_bytes=260,pr06,TF,pr053,parser,toml,ok,1116
parser_054,f64,5938,1,5938000000,5938000000,5938000000,0,0.16840687,success=true code=Some(0) stdout_bytes=144 stderr_bytes=260,pr06,TI,pr054,parser,toml,ok,5938
parser_055,f64,4748,1,4748000000,4748000000,4748000000,0,0.210615,success=true code=Some(0) stdout_bytes=146 stderr_bytes=208,pr06,TMD,pr055,parser,toml,ok,4748
parser_056,f64,4245,1,4245000000,4245000000,4245000000,0,0.23557127,success=true code=Some(0) stdout_bytes=155 stderr_bytes=260,pr06,TMD,pr056,parser,toml,ok,4245
parser_057,f64,5849,1,5849000000,5849000000,5849000000,0,0.1709694,success=true code=Some(0) stdout_bytes=143 stderr_bytes=260,pr06,TS,pr057,parser,toml,ok,5849
parser_058,f64,2900,1,2900000000,2900000000,2900000000,0,0.3448276,success=true code=Some(0) stdout_bytes=142 stderr_bytes=364,pr06,TT,pr058,parser,toml,ok,2900
parser_059,f64,4652,1,4652000000,4652000000,4652000000,0,0.2149613,success=true code=Some(0) stdout_bytes=145 stderr_bytes=208,pr06,TV,pr059,parser,toml,ok,4652
parser_060,f64,4573,1,4573000000,4573000000,4573000000,0,0.21867482,success=true code=Some(0) stdout_bytes=150 stderr_bytes=208,pr06,TVM,pr060,parser,toml,ok,4573
parser_061,f64,4706,1,4706000000,4706000000,4706000000,0,0.21249469,success=true code=Some(0) stdout_bytes=141 stderr_bytes=312,pr07,YB,pr061,parser,yaml,ok,4706
parser_062,f64,4505,1,4505000000,4505000000,4505000000,0,0.22197558,success=true code=Some(0) stdout_bytes=151 stderr_bytes=260,pr07,YEI,pr062,parser,yaml,ok,4505
parser_063,f64,2811,1,2811000000,2811000000,2811000000,0,0.3557453,success=true code=Some(0) stdout_bytes=144 stderr_bytes=260,pr07,YM,pr063,parser,yaml,ok,2811
parser_064,f64,2446,1,2446000000,2446000000,2446000000,0,0.40883073,success=true code=Some(0) stdout_bytes=146 stderr_bytes=312,pr07,YMD,pr064,parser,yaml,ok,2446
parser_065,f64,586,1,586000000,586000000,586000000,0,1.7064847,success=true code=Some(0) stdout_bytes=141 stderr_bytes=260,pr07,YN,pr065,parser,yaml,ok,586
parser_066,f64,3682,1,3682000000,3682000000,3682000000,0,0.2715915,success=true code=Some(0) stdout_bytes=143 stderr_bytes=364,pr07,YN,pr066,parser,yaml,ok,3682
parser_067,f64,2826,1,2826000000,2826000000,2826000000,0,0.35385704,success=true code=Some(0) stdout_bytes=150 stderr_bytes=260,pr07,YQS,pr067,parser,yaml,ok,2826
parser_068,f64,4334,1,4334000000,4334000000,4334000000,0,0.23073374,success=true code=Some(0) stdout_bytes=145 stderr_bytes=208,pr07,YS,pr068,parser,yaml,ok,4334
parser_069,f64,2517,1,2517000000,2517000000,2517000000,0,0.39729837,success=true code=Some(0) stdout_bytes=143 stderr_bytes=260,pr07,YS,pr069,parser,yaml,ok,2517
parser_070,f64,4652,1,4652000000,4652000000,4652000000,0,0.2149613,success=true code=Some(0) stdout_bytes=147 stderr_bytes=260,pr07,YTN,pr070,parser,yaml,ok,4652
parser_071,f64,3869,1,3869000000,3869000000,3869000000,0,0.25846472,success=true code=Some(0) stdout_bytes=145 stderr_bytes=416,pr08,YV,pr071,parser,yaml,ok,3869
parser_072,f64,382,1,382000000,382000000,382000000,0,2.617801,success=true code=Some(0) stdout_bytes=150 stderr_bytes=151,pr08,YVM,pr072,parser,yaml,ok,382
